input_cell_line_name,input_identifier,detected_type,status,SIDM,matched_on,source,CVCL,RRID,ACH,all_aliases
CAL-78,SIDM00929,sidm,resolved,SIDM00929,sidm,sanger,,,,CAL78; SIDM00929
CAL-85-1,SIDM00928,sidm,resolved,SIDM00928,sidm,sanger,,,,CAL851; SIDM00928
Calu-3,SIDM00922,sidm,resolved,SIDM00922,sidm,sanger,,,,CALU3; SIDM00922
Calu-6,SIDM00921,sidm,resolved,SIDM00921,sidm,sanger,,,,CALU6; SIDM00921
CAMA-1,SIDM00920,sidm,resolved,SIDM00920,sidm,sanger,,,,CAMA1; SIDM00920
Caov-4,SIDM00918,sidm,resolved,SIDM00918,sidm,sanger,,,,CAOV4; SIDM00918
CAPAN-1,SIDM00934,sidm,resolved,SIDM00934,sidm,sanger,,,,CAPAN1; SIDM00934
CAPAN-2,SIDM00943,sidm,resolved,SIDM00943,sidm,sanger,,,,CAPAN2; SIDM00943
CaR-1,SIDM00488,sidm,resolved,SIDM00488,sidm,sanger,,,,CAR1; SIDM00488
CAS-1,SIDM00212,sidm,resolved,SIDM00212,sidm,sanger,,,,CAS1; SIDM00212
Ca-Ski,SIDM00923,sidm,resolved,SIDM00923,sidm,sanger,,,,CASKI; SIDM00923
CCK-81,SIDM00487,sidm,resolved,SIDM00487,sidm,sanger,,,,CCK81; SIDM00487
CCRF-CEM,SIDM00121,sidm,resolved,SIDM00121,sidm,sanger,,,,CCRFCEM; SIDM00121
