tissue,cell_line,drug_name_A,drug_name_B,synergy
Bladder,5637,AZD7762,Cisplatin,1
Bladder,639-V,AZD7762,Cisplatin,1
Bladder,647-V,AZD7762,Cisplatin,1
Bladder,BFTC-905,AZD7762,Cisplatin,1
Bladder,CAL-29,AZD7762,Cisplatin,1
Bladder,DSH1,AZD7762,Cisplatin,1
Bladder,HT-1197,AZD7762,Cisplatin,0
Bladder,HT-1376,AZD7762,Cisplatin,1
Bladder,J82,AZD7762,Cisplatin,1
Bladder,KU-19-19,AZD7762,Cisplatin,1
Bladder,LB831-BLC,AZD7762,Cisplatin,1
Bladder,RT-112,AZD7762,Cisplatin,1
Bladder,RT4,AZD7762,Cisplatin,1
Bladder,SW1710,AZD7762,Cisplatin,1
Bladder,SW780,AZD7762,Cisplatin,1
Bladder,TCCSUP,AZD7762,Cisplatin,1
Bladder,UM-UC-3,AZD7762,Cisplatin,1
Bladder,VM-CUB-1,AZD7762,Cisplatin,1
Bladder,5637,MK-1775,Cisplatin,1
Bladder,639-V,MK-1775,Cisplatin,1
Bladder,647-V,MK-1775,Cisplatin,1
Bladder,BFTC-905,MK-1775,Cisplatin,1
Bladder,CAL-29,MK-1775,Cisplatin,1
Bladder,DSH1,MK-1775,Cisplatin,1
Bladder,HT-1376,MK-1775,Cisplatin,1
Bladder,J82,MK-1775,Cisplatin,1
Bladder,KU-19-19,MK-1775,Cisplatin,1
Bladder,LB831-BLC,MK-1775,Cisplatin,1
Bladder,RT-112,MK-1775,Cisplatin,1
Bladder,RT4,MK-1775,Cisplatin,1
Bladder,SW1710,MK-1775,Cisplatin,1
Bladder,SW780,MK-1775,Cisplatin,1
Bladder,TCCSUP,MK-1775,Cisplatin,1
Bladder,UM-UC-3,MK-1775,Cisplatin,1
Bladder,VM-CUB-1,MK-1775,Cisplatin,1
Bladder,5637,Navitoclax,Docetaxel,1
Bladder,639-V,Navitoclax,Docetaxel,1
Bladder,647-V,Navitoclax,Docetaxel,1
Bladder,BFTC-905,Navitoclax,Docetaxel,1
Bladder,CAL-29,Navitoclax,Docetaxel,1
Bladder,DSH1,Navitoclax,Docetaxel,1
Bladder,HT-1376,Navitoclax,Docetaxel,1
Bladder,J82,Navitoclax,Docetaxel,1
Bladder,KU-19-19,Navitoclax,Docetaxel,1
Bladder,LB831-BLC,Navitoclax,Docetaxel,1
Bladder,RT-112,Navitoclax,Docetaxel,1
Bladder,RT4,Navitoclax,Docetaxel,1
Bladder,SW1710,Navitoclax,Docetaxel,1
Bladder,SW780,Navitoclax,Docetaxel,1
Bladder,TCCSUP,Navitoclax,Docetaxel,1
Bladder,UM-UC-3,Navitoclax,Docetaxel,1
Bladder,VM-CUB-1,Navitoclax,Docetaxel,1
Bladder,5637,Trametinib,Navitoclax,1
Bladder,639-V,Trametinib,Navitoclax,1
Bladder,647-V,Trametinib,Navitoclax,1
Bladder,BFTC-905,Trametinib,Navitoclax,1
Bladder,CAL-29,Trametinib,Navitoclax,1
Bladder,DSH1,Trametinib,Navitoclax,1
Bladder,HT-1376,Trametinib,Navitoclax,1
Bladder,J82,Trametinib,Navitoclax,0
Bladder,KU-19-19,Trametinib,Navitoclax,1
Bladder,LB831-BLC,Trametinib,Navitoclax,0
Bladder,RT-112,Trametinib,Navitoclax,1
Bladder,RT4,Trametinib,Navitoclax,1
Bladder,SW1710,Trametinib,Navitoclax,0
Bladder,SW780,Trametinib,Navitoclax,1
Bladder,TCCSUP,Trametinib,Navitoclax,0
Bladder,UM-UC-3,Trametinib,Navitoclax,1
Bladder,VM-CUB-1,Trametinib,Navitoclax,1
Bladder,5637,Lapatinib,Navitoclax,0
Bladder,639-V,Lapatinib,Navitoclax,0
Bladder,647-V,Lapatinib,Navitoclax,1
Bladder,BFTC-905,Lapatinib,Navitoclax,1
Bladder,CAL-29,Lapatinib,Navitoclax,1
Bladder,DSH1,Lapatinib,Navitoclax,1
Bladder,HT-1376,Lapatinib,Navitoclax,1
Bladder,J82,Lapatinib,Navitoclax,0
Bladder,KU-19-19,Lapatinib,Navitoclax,0
Bladder,LB831-BLC,Lapatinib,Navitoclax,1
Bladder,RT-112,Lapatinib,Navitoclax,1
Bladder,RT4,Lapatinib,Navitoclax,1
Bladder,SW1710,Lapatinib,Navitoclax,0
Bladder,SW780,Lapatinib,Navitoclax,0
Bladder,TCCSUP,Lapatinib,Navitoclax,1
Bladder,UM-UC-3,Lapatinib,Navitoclax,1
Bladder,VM-CUB-1,Lapatinib,Navitoclax,1
Bladder,5637,Taselisib,Navitoclax,1
Bladder,639-V,Taselisib,Navitoclax,0
Bladder,647-V,Taselisib,Navitoclax,1
Bladder,BFTC-905,Taselisib,Navitoclax,1
Bladder,CAL-29,Taselisib,Navitoclax,1
Bladder,DSH1,Taselisib,Navitoclax,1
Bladder,HT-1376,Taselisib,Navitoclax,0
Bladder,J82,Taselisib,Navitoclax,0
Bladder,KU-19-19,Taselisib,Navitoclax,0
Bladder,LB831-BLC,Taselisib,Navitoclax,0
Bladder,RT-112,Taselisib,Navitoclax,1
Bladder,RT4,Taselisib,Navitoclax,0
Bladder,SW1710,Taselisib,Navitoclax,0
Bladder,SW780,Taselisib,Navitoclax,0
Bladder,TCCSUP,Taselisib,Navitoclax,1
Bladder,UM-UC-3,Taselisib,Navitoclax,0
Bladder,VM-CUB-1,Taselisib,Navitoclax,1
Bladder,5637,Trametinib,Olaparib,0
Bladder,639-V,Trametinib,Olaparib,0
Bladder,647-V,Trametinib,Olaparib,1
Bladder,BFTC-905,Trametinib,Olaparib,0
Bladder,CAL-29,Trametinib,Olaparib,1
Bladder,DSH1,Trametinib,Olaparib,1
Bladder,HT-1376,Trametinib,Olaparib,0
Bladder,J82,Trametinib,Olaparib,1
Bladder,KU-19-19,Trametinib,Olaparib,1
Bladder,LB831-BLC,Trametinib,Olaparib,1
Bladder,RT-112,Trametinib,Olaparib,0
Bladder,RT4,Trametinib,Olaparib,0
Bladder,SW1710,Trametinib,Olaparib,0
Bladder,SW780,Trametinib,Olaparib,1
Bladder,TCCSUP,Trametinib,Olaparib,0
Bladder,UM-UC-3,Trametinib,Olaparib,0
Bladder,VM-CUB-1,Trametinib,Olaparib,1
Bladder,5637,Taselisib,Olaparib,0
Bladder,639-V,Taselisib,Olaparib,0
Bladder,647-V,Taselisib,Olaparib,1
Bladder,BFTC-905,Taselisib,Olaparib,0
Bladder,CAL-29,Taselisib,Olaparib,1
Bladder,DSH1,Taselisib,Olaparib,1
Bladder,HT-1376,Taselisib,Olaparib,0
Bladder,J82,Taselisib,Olaparib,1
Bladder,KU-19-19,Taselisib,Olaparib,0
Bladder,LB831-BLC,Taselisib,Olaparib,1
Bladder,RT-112,Taselisib,Olaparib,1
Bladder,RT4,Taselisib,Olaparib,0
Bladder,SW1710,Taselisib,Olaparib,0
Bladder,SW780,Taselisib,Olaparib,1
Bladder,TCCSUP,Taselisib,Olaparib,1
Bladder,UM-UC-3,Taselisib,Olaparib,0
Bladder,VM-CUB-1,Taselisib,Olaparib,1
Bladder,5637,Navitoclax,Axitinib,1
Bladder,639-V,Navitoclax,Axitinib,1
Bladder,647-V,Navitoclax,Axitinib,1
Bladder,BFTC-905,Navitoclax,Axitinib,1
Bladder,CAL-29,Navitoclax,Axitinib,1
Bladder,DSH1,Navitoclax,Axitinib,1
Bladder,HT-1376,Navitoclax,Axitinib,1
Bladder,J82,Navitoclax,Axitinib,1
Bladder,KU-19-19,Navitoclax,Axitinib,1
Bladder,LB831-BLC,Navitoclax,Axitinib,1
Bladder,RT-112,Navitoclax,Axitinib,1
Bladder,RT4,Navitoclax,Axitinib,1
Bladder,SW1710,Navitoclax,Axitinib,1
Bladder,SW780,Navitoclax,Axitinib,1
Bladder,TCCSUP,Navitoclax,Axitinib,1
Bladder,UM-UC-3,Navitoclax,Axitinib,1
Bladder,VM-CUB-1,Navitoclax,Axitinib,1
Bladder,5637,Navitoclax,Afatinib,1
Bladder,639-V,Navitoclax,Afatinib,0
Bladder,647-V,Navitoclax,Afatinib,1
Bladder,BFTC-905,Navitoclax,Afatinib,1
Bladder,CAL-29,Navitoclax,Afatinib,1
Bladder,DSH1,Navitoclax,Afatinib,1
Bladder,HT-1376,Navitoclax,Afatinib,1
Bladder,J82,Navitoclax,Afatinib,1
Bladder,KU-19-19,Navitoclax,Afatinib,1
Bladder,LB831-BLC,Navitoclax,Afatinib,1
Bladder,RT-112,Navitoclax,Afatinib,1
Bladder,RT4,Navitoclax,Afatinib,1
Bladder,SW1710,Navitoclax,Afatinib,1
Bladder,SW780,Navitoclax,Afatinib,1
Bladder,TCCSUP,Navitoclax,Afatinib,1
Bladder,UM-UC-3,Navitoclax,Afatinib,1
Bladder,VM-CUB-1,Navitoclax,Afatinib,1
Bladder,5637,Trametinib,Afatinib,1
Bladder,639-V,Trametinib,Afatinib,1
Bladder,647-V,Trametinib,Afatinib,1
Bladder,BFTC-905,Trametinib,Afatinib,1
Bladder,CAL-29,Trametinib,Afatinib,1
Bladder,DSH1,Trametinib,Afatinib,0
Bladder,HT-1197,Trametinib,Afatinib,1
Bladder,HT-1376,Trametinib,Afatinib,1
Bladder,J82,Trametinib,Afatinib,0
Bladder,KU-19-19,Trametinib,Afatinib,1
Bladder,LB831-BLC,Trametinib,Afatinib,1
Bladder,RT-112,Trametinib,Afatinib,1
Bladder,RT4,Trametinib,Afatinib,1
Bladder,SW1710,Trametinib,Afatinib,0
Bladder,SW780,Trametinib,Afatinib,1
Bladder,TCCSUP,Trametinib,Afatinib,0
Bladder,UM-UC-3,Trametinib,Afatinib,1
Bladder,VM-CUB-1,Trametinib,Afatinib,1
Bladder,5637,Taselisib,Afatinib,1
Bladder,639-V,Taselisib,Afatinib,1
Bladder,647-V,Taselisib,Afatinib,1
Bladder,BFTC-905,Taselisib,Afatinib,1
Bladder,CAL-29,Taselisib,Afatinib,1
Bladder,DSH1,Taselisib,Afatinib,1
Bladder,HT-1197,Taselisib,Afatinib,1
Bladder,HT-1376,Taselisib,Afatinib,1
Bladder,J82,Taselisib,Afatinib,1
Bladder,KU-19-19,Taselisib,Afatinib,0
Bladder,LB831-BLC,Taselisib,Afatinib,1
Bladder,RT-112,Taselisib,Afatinib,1
Bladder,RT4,Taselisib,Afatinib,1
Bladder,SW1710,Taselisib,Afatinib,1
Bladder,SW780,Taselisib,Afatinib,0
Bladder,TCCSUP,Taselisib,Afatinib,1
Bladder,UM-UC-3,Taselisib,Afatinib,1
Bladder,VM-CUB-1,Taselisib,Afatinib,1
Bladder,5637,MK-1775,Nutlin-3a (-),1
Bladder,639-V,MK-1775,Nutlin-3a (-),1
Bladder,647-V,MK-1775,Nutlin-3a (-),1
Bladder,BFTC-905,MK-1775,Nutlin-3a (-),1
Bladder,CAL-29,MK-1775,Nutlin-3a (-),1
Bladder,DSH1,MK-1775,Nutlin-3a (-),1
Bladder,HT-1197,MK-1775,Nutlin-3a (-),0
Bladder,HT-1376,MK-1775,Nutlin-3a (-),1
Bladder,J82,MK-1775,Nutlin-3a (-),1
Bladder,KU-19-19,MK-1775,Nutlin-3a (-),0
Bladder,LB831-BLC,MK-1775,Nutlin-3a (-),1
Bladder,RT-112,MK-1775,Nutlin-3a (-),1
Bladder,RT4,MK-1775,Nutlin-3a (-),0
Bladder,SW1710,MK-1775,Nutlin-3a (-),1
Bladder,SW780,MK-1775,Nutlin-3a (-),0
Bladder,TCCSUP,MK-1775,Nutlin-3a (-),1
Bladder,UM-UC-3,MK-1775,Nutlin-3a (-),1
Bladder,VM-CUB-1,MK-1775,Nutlin-3a (-),1
Bladder,5637,Lapatinib,PD173074,1
Bladder,639-V,Lapatinib,PD173074,0
Bladder,647-V,Lapatinib,PD173074,1
Bladder,BFTC-905,Lapatinib,PD173074,1
Bladder,CAL-29,Lapatinib,PD173074,1
Bladder,DSH1,Lapatinib,PD173074,0
Bladder,HT-1376,Lapatinib,PD173074,1
Bladder,J82,Lapatinib,PD173074,1
Bladder,KU-19-19,Lapatinib,PD173074,1
Bladder,LB831-BLC,Lapatinib,PD173074,1
Bladder,RT-112,Lapatinib,PD173074,1
Bladder,RT4,Lapatinib,PD173074,1
Bladder,SW1710,Lapatinib,PD173074,1
Bladder,SW780,Lapatinib,PD173074,1
Bladder,TCCSUP,Lapatinib,PD173074,1
Bladder,UM-UC-3,Lapatinib,PD173074,1
Bladder,VM-CUB-1,Lapatinib,PD173074,0
Bladder,5637,Trametinib,MK-2206,1
Bladder,639-V,Trametinib,MK-2206,0
Bladder,647-V,Trametinib,MK-2206,1
Bladder,BFTC-905,Trametinib,MK-2206,1
Bladder,CAL-29,Trametinib,MK-2206,1
Bladder,DSH1,Trametinib,MK-2206,1
Bladder,HT-1197,Trametinib,MK-2206,1
Bladder,HT-1376,Trametinib,MK-2206,0
Bladder,J82,Trametinib,MK-2206,1
Bladder,KU-19-19,Trametinib,MK-2206,1
Bladder,LB831-BLC,Trametinib,MK-2206,0
Bladder,RT-112,Trametinib,MK-2206,1
Bladder,RT4,Trametinib,MK-2206,1
Bladder,SW1710,Trametinib,MK-2206,1
Bladder,SW780,Trametinib,MK-2206,1
Bladder,TCCSUP,Trametinib,MK-2206,1
Bladder,UM-UC-3,Trametinib,MK-2206,1
Bladder,VM-CUB-1,Trametinib,MK-2206,1
Bladder,5637,Lapatinib,MK-2206,1
Bladder,639-V,Lapatinib,MK-2206,1
Bladder,647-V,Lapatinib,MK-2206,1
Bladder,BFTC-905,Lapatinib,MK-2206,1
Bladder,CAL-29,Lapatinib,MK-2206,1
Bladder,DSH1,Lapatinib,MK-2206,1
Bladder,HT-1197,Lapatinib,MK-2206,0
Bladder,HT-1376,Lapatinib,MK-2206,0
Bladder,J82,Lapatinib,MK-2206,1
Bladder,KU-19-19,Lapatinib,MK-2206,1
Bladder,LB831-BLC,Lapatinib,MK-2206,1
Bladder,RT-112,Lapatinib,MK-2206,1
Bladder,RT4,Lapatinib,MK-2206,1
Bladder,SW1710,Lapatinib,MK-2206,1
Bladder,SW780,Lapatinib,MK-2206,0
Bladder,TCCSUP,Lapatinib,MK-2206,1
Bladder,UM-UC-3,Lapatinib,MK-2206,1
Bladder,VM-CUB-1,Lapatinib,MK-2206,1
Bladder,5637,Taselisib,MK-2206,1
Bladder,639-V,Taselisib,MK-2206,0
Bladder,647-V,Taselisib,MK-2206,0
Bladder,BFTC-905,Taselisib,MK-2206,1
Bladder,CAL-29,Taselisib,MK-2206,0
Bladder,DSH1,Taselisib,MK-2206,0
Bladder,HT-1197,Taselisib,MK-2206,1
Bladder,HT-1376,Taselisib,MK-2206,1
Bladder,J82,Taselisib,MK-2206,1
Bladder,KU-19-19,Taselisib,MK-2206,1
Bladder,LB831-BLC,Taselisib,MK-2206,0
Bladder,RT-112,Taselisib,MK-2206,0
Bladder,RT4,Taselisib,MK-2206,0
Bladder,SW1710,Taselisib,MK-2206,0
Bladder,SW780,Taselisib,MK-2206,0
Bladder,TCCSUP,Taselisib,MK-2206,0
Bladder,UM-UC-3,Taselisib,MK-2206,1
Bladder,VM-CUB-1,Taselisib,MK-2206,0
Bladder,5637,Trametinib,Palbociclib,0
Bladder,639-V,Trametinib,Palbociclib,0
Bladder,647-V,Trametinib,Palbociclib,0
Bladder,BFTC-905,Trametinib,Palbociclib,1
Bladder,CAL-29,Trametinib,Palbociclib,1
Bladder,DSH1,Trametinib,Palbociclib,0
Bladder,HT-1197,Trametinib,Palbociclib,0
Bladder,HT-1376,Trametinib,Palbociclib,1
Bladder,J82,Trametinib,Palbociclib,0
Bladder,KU-19-19,Trametinib,Palbociclib,1
Bladder,LB831-BLC,Trametinib,Palbociclib,0
Bladder,RT-112,Trametinib,Palbociclib,1
Bladder,RT4,Trametinib,Palbociclib,1
Bladder,SW1710,Trametinib,Palbociclib,0
Bladder,SW780,Trametinib,Palbociclib,0
Bladder,TCCSUP,Trametinib,Palbociclib,0
Bladder,UM-UC-3,Trametinib,Palbociclib,1
Bladder,VM-CUB-1,Trametinib,Palbociclib,1
Bladder,5637,Lapatinib,Palbociclib,0
Bladder,639-V,Lapatinib,Palbociclib,0
Bladder,647-V,Lapatinib,Palbociclib,0
Bladder,BFTC-905,Lapatinib,Palbociclib,1
Bladder,CAL-29,Lapatinib,Palbociclib,1
Bladder,DSH1,Lapatinib,Palbociclib,1
Bladder,HT-1197,Lapatinib,Palbociclib,0
Bladder,HT-1376,Lapatinib,Palbociclib,1
Bladder,J82,Lapatinib,Palbociclib,1
Bladder,KU-19-19,Lapatinib,Palbociclib,0
Bladder,LB831-BLC,Lapatinib,Palbociclib,1
Bladder,RT-112,Lapatinib,Palbociclib,0
Bladder,RT4,Lapatinib,Palbociclib,1
Bladder,SW1710,Lapatinib,Palbociclib,0
Bladder,SW780,Lapatinib,Palbociclib,0
Bladder,TCCSUP,Lapatinib,Palbociclib,0
Bladder,UM-UC-3,Lapatinib,Palbociclib,1
Bladder,VM-CUB-1,Lapatinib,Palbociclib,1
Bladder,5637,Taselisib,Palbociclib,0
Bladder,639-V,Taselisib,Palbociclib,0
Bladder,647-V,Taselisib,Palbociclib,1
Bladder,BFTC-905,Taselisib,Palbociclib,1
Bladder,CAL-29,Taselisib,Palbociclib,1
Bladder,DSH1,Taselisib,Palbociclib,0
Bladder,HT-1197,Taselisib,Palbociclib,1
Bladder,HT-1376,Taselisib,Palbociclib,1
Bladder,J82,Taselisib,Palbociclib,1
Bladder,KU-19-19,Taselisib,Palbociclib,1
Bladder,LB831-BLC,Taselisib,Palbociclib,1
Bladder,RT-112,Taselisib,Palbociclib,1
Bladder,RT4,Taselisib,Palbociclib,0
Bladder,SW1710,Taselisib,Palbociclib,0
Bladder,SW780,Taselisib,Palbociclib,1
Bladder,TCCSUP,Taselisib,Palbociclib,0
Bladder,UM-UC-3,Taselisib,Palbociclib,1
Bladder,VM-CUB-1,Taselisib,Palbociclib,1
Bladder,5637,MK-1775,Pictilisib,1
Bladder,639-V,MK-1775,Pictilisib,0
Bladder,647-V,MK-1775,Pictilisib,1
Bladder,BFTC-905,MK-1775,Pictilisib,1
Bladder,CAL-29,MK-1775,Pictilisib,1
Bladder,DSH1,MK-1775,Pictilisib,1
Bladder,HT-1376,MK-1775,Pictilisib,1
Bladder,J82,MK-1775,Pictilisib,1
Bladder,KU-19-19,MK-1775,Pictilisib,1
Bladder,LB831-BLC,MK-1775,Pictilisib,1
Bladder,RT-112,MK-1775,Pictilisib,0
Bladder,RT4,MK-1775,Pictilisib,1
Bladder,SW1710,MK-1775,Pictilisib,0
Bladder,SW780,MK-1775,Pictilisib,1
Bladder,TCCSUP,MK-1775,Pictilisib,0
Bladder,UM-UC-3,MK-1775,Pictilisib,1
Bladder,VM-CUB-1,MK-1775,Pictilisib,1
Bladder,5637,Trametinib,Pictilisib,1
Bladder,639-V,Trametinib,Pictilisib,1
Bladder,647-V,Trametinib,Pictilisib,1
Bladder,BFTC-905,Trametinib,Pictilisib,1
Bladder,CAL-29,Trametinib,Pictilisib,1
Bladder,DSH1,Trametinib,Pictilisib,1
Bladder,HT-1376,Trametinib,Pictilisib,1
Bladder,J82,Trametinib,Pictilisib,1
Bladder,KU-19-19,Trametinib,Pictilisib,1
Bladder,LB831-BLC,Trametinib,Pictilisib,1
Bladder,RT-112,Trametinib,Pictilisib,1
Bladder,RT4,Trametinib,Pictilisib,1
Bladder,SW1710,Trametinib,Pictilisib,1
Bladder,SW780,Trametinib,Pictilisib,1
Bladder,TCCSUP,Trametinib,Pictilisib,1
Bladder,UM-UC-3,Trametinib,Pictilisib,1
Bladder,VM-CUB-1,Trametinib,Pictilisib,1
Bladder,5637,Lapatinib,Pictilisib,1
Bladder,639-V,Lapatinib,Pictilisib,0
Bladder,647-V,Lapatinib,Pictilisib,0
Bladder,BFTC-905,Lapatinib,Pictilisib,1
Bladder,CAL-29,Lapatinib,Pictilisib,1
Bladder,DSH1,Lapatinib,Pictilisib,1
Bladder,HT-1376,Lapatinib,Pictilisib,1
Bladder,J82,Lapatinib,Pictilisib,1
Bladder,KU-19-19,Lapatinib,Pictilisib,0
Bladder,LB831-BLC,Lapatinib,Pictilisib,0
Bladder,RT-112,Lapatinib,Pictilisib,1
Bladder,RT4,Lapatinib,Pictilisib,0
Bladder,SW1710,Lapatinib,Pictilisib,0
Bladder,SW780,Lapatinib,Pictilisib,1
Bladder,TCCSUP,Lapatinib,Pictilisib,0
Bladder,UM-UC-3,Lapatinib,Pictilisib,0
Bladder,VM-CUB-1,Lapatinib,Pictilisib,1
Bladder,5637,AZD7762,5-Fluorouracil,1
Bladder,639-V,AZD7762,5-Fluorouracil,0
Bladder,647-V,AZD7762,5-Fluorouracil,0
Bladder,BFTC-905,AZD7762,5-Fluorouracil,1
Bladder,CAL-29,AZD7762,5-Fluorouracil,1
Bladder,DSH1,AZD7762,5-Fluorouracil,1
Bladder,HT-1197,AZD7762,5-Fluorouracil,0
Bladder,HT-1376,AZD7762,5-Fluorouracil,1
Bladder,J82,AZD7762,5-Fluorouracil,1
Bladder,KU-19-19,AZD7762,5-Fluorouracil,1
Bladder,LB831-BLC,AZD7762,5-Fluorouracil,1
Bladder,RT-112,AZD7762,5-Fluorouracil,1
Bladder,RT4,AZD7762,5-Fluorouracil,0
Bladder,SW1710,AZD7762,5-Fluorouracil,1
Bladder,SW780,AZD7762,5-Fluorouracil,0
Bladder,TCCSUP,AZD7762,5-Fluorouracil,0
Bladder,UM-UC-3,AZD7762,5-Fluorouracil,0
Bladder,VM-CUB-1,AZD7762,5-Fluorouracil,0
Bladder,5637,Lapatinib,Crizotinib,1
Bladder,639-V,Lapatinib,Crizotinib,0
Bladder,647-V,Lapatinib,Crizotinib,1
Bladder,BFTC-905,Lapatinib,Crizotinib,1
Bladder,CAL-29,Lapatinib,Crizotinib,1
Bladder,DSH1,Lapatinib,Crizotinib,1
Bladder,HT-1376,Lapatinib,Crizotinib,1
Bladder,J82,Lapatinib,Crizotinib,0
Bladder,KU-19-19,Lapatinib,Crizotinib,1
Bladder,LB831-BLC,Lapatinib,Crizotinib,1
Bladder,RT-112,Lapatinib,Crizotinib,1
Bladder,RT4,Lapatinib,Crizotinib,1
Bladder,SW1710,Lapatinib,Crizotinib,1
Bladder,SW780,Lapatinib,Crizotinib,1
Bladder,TCCSUP,Lapatinib,Crizotinib,0
Bladder,UM-UC-3,Lapatinib,Crizotinib,1
Bladder,VM-CUB-1,Lapatinib,Crizotinib,1
Bladder,5637,Navitoclax,Oxaliplatin,1
Bladder,639-V,Navitoclax,Oxaliplatin,1
Bladder,647-V,Navitoclax,Oxaliplatin,0
Bladder,BFTC-905,Navitoclax,Oxaliplatin,1
Bladder,CAL-29,Navitoclax,Oxaliplatin,1
Bladder,DSH1,Navitoclax,Oxaliplatin,1
Bladder,HT-1376,Navitoclax,Oxaliplatin,1
Bladder,J82,Navitoclax,Oxaliplatin,1
Bladder,KU-19-19,Navitoclax,Oxaliplatin,1
Bladder,LB831-BLC,Navitoclax,Oxaliplatin,1
Bladder,RT-112,Navitoclax,Oxaliplatin,1
Bladder,RT4,Navitoclax,Oxaliplatin,1
Bladder,SW1710,Navitoclax,Oxaliplatin,1
Bladder,SW780,Navitoclax,Oxaliplatin,1
Bladder,TCCSUP,Navitoclax,Oxaliplatin,1
Bladder,UM-UC-3,Navitoclax,Oxaliplatin,1
Bladder,VM-CUB-1,Navitoclax,Oxaliplatin,1
Bladder,5637,Olaparib,MK-1775,1
Bladder,639-V,Olaparib,MK-1775,1
Bladder,647-V,Olaparib,MK-1775,1
Bladder,BFTC-905,Olaparib,MK-1775,1
Bladder,CAL-29,Olaparib,MK-1775,1
Bladder,DSH1,Olaparib,MK-1775,0
Bladder,HT-1197,Olaparib,MK-1775,1
Bladder,HT-1376,Olaparib,MK-1775,1
Bladder,J82,Olaparib,MK-1775,1
Bladder,KU-19-19,Olaparib,MK-1775,0
Bladder,LB831-BLC,Olaparib,MK-1775,1
Bladder,RT-112,Olaparib,MK-1775,1
Bladder,RT4,Olaparib,MK-1775,1
Bladder,SW1710,Olaparib,MK-1775,1
Bladder,SW780,Olaparib,MK-1775,0
Bladder,TCCSUP,Olaparib,MK-1775,0
Bladder,UM-UC-3,Olaparib,MK-1775,1
Bladder,VM-CUB-1,Olaparib,MK-1775,1
Bladder,5637,AZD7762,MK-1775,1
Bladder,639-V,AZD7762,MK-1775,1
Bladder,647-V,AZD7762,MK-1775,1
Bladder,BFTC-905,AZD7762,MK-1775,1
Bladder,CAL-29,AZD7762,MK-1775,1
Bladder,DSH1,AZD7762,MK-1775,1
Bladder,HT-1197,AZD7762,MK-1775,1
Bladder,HT-1376,AZD7762,MK-1775,1
Bladder,J82,AZD7762,MK-1775,1
Bladder,KU-19-19,AZD7762,MK-1775,1
Bladder,LB831-BLC,AZD7762,MK-1775,1
Bladder,RT-112,AZD7762,MK-1775,1
Bladder,RT4,AZD7762,MK-1775,1
Bladder,SW1710,AZD7762,MK-1775,1
Bladder,SW780,AZD7762,MK-1775,0
Bladder,TCCSUP,AZD7762,MK-1775,1
Bladder,UM-UC-3,AZD7762,MK-1775,1
Bladder,VM-CUB-1,AZD7762,MK-1775,1
Bladder,5637,AZD7762,Gemcitabine,1
Bladder,639-V,AZD7762,Gemcitabine,1
Bladder,647-V,AZD7762,Gemcitabine,1
Bladder,BFTC-905,AZD7762,Gemcitabine,1
Bladder,CAL-29,AZD7762,Gemcitabine,1
Bladder,DSH1,AZD7762,Gemcitabine,1
Bladder,HT-1376,AZD7762,Gemcitabine,1
Bladder,J82,AZD7762,Gemcitabine,1
Bladder,KU-19-19,AZD7762,Gemcitabine,1
Bladder,LB831-BLC,AZD7762,Gemcitabine,1
Bladder,RT-112,AZD7762,Gemcitabine,1
Bladder,SW1710,AZD7762,Gemcitabine,1
Bladder,SW780,AZD7762,Gemcitabine,1
Bladder,TCCSUP,AZD7762,Gemcitabine,1
Bladder,UM-UC-3,AZD7762,Gemcitabine,1
Bladder,VM-CUB-1,AZD7762,Gemcitabine,1
Bladder,5637,MK-1775,Gemcitabine,1
Bladder,639-V,MK-1775,Gemcitabine,1
Bladder,647-V,MK-1775,Gemcitabine,1
Bladder,BFTC-905,MK-1775,Gemcitabine,0
Bladder,CAL-29,MK-1775,Gemcitabine,0
Bladder,DSH1,MK-1775,Gemcitabine,0
Bladder,HT-1376,MK-1775,Gemcitabine,1
Bladder,J82,MK-1775,Gemcitabine,1
Bladder,KU-19-19,MK-1775,Gemcitabine,0
Bladder,LB831-BLC,MK-1775,Gemcitabine,1
Bladder,RT-112,MK-1775,Gemcitabine,1
Bladder,SW1710,MK-1775,Gemcitabine,1
Bladder,SW780,MK-1775,Gemcitabine,1
Bladder,TCCSUP,MK-1775,Gemcitabine,1
Bladder,UM-UC-3,MK-1775,Gemcitabine,1
Bladder,VM-CUB-1,MK-1775,Gemcitabine,1
Bladder,5637,Navitoclax,Trametinib,1
Bladder,639-V,Navitoclax,Trametinib,0
Bladder,647-V,Navitoclax,Trametinib,1
Bladder,BFTC-905,Navitoclax,Trametinib,1
Bladder,CAL-29,Navitoclax,Trametinib,1
Bladder,DSH1,Navitoclax,Trametinib,1
Bladder,HT-1376,Navitoclax,Trametinib,1
Bladder,J82,Navitoclax,Trametinib,1
Bladder,KU-19-19,Navitoclax,Trametinib,1
Bladder,LB831-BLC,Navitoclax,Trametinib,0
Bladder,RT-112,Navitoclax,Trametinib,1
Bladder,RT4,Navitoclax,Trametinib,1
Bladder,SW1710,Navitoclax,Trametinib,1
Bladder,SW780,Navitoclax,Trametinib,1
Bladder,TCCSUP,Navitoclax,Trametinib,1
Bladder,UM-UC-3,Navitoclax,Trametinib,1
Bladder,VM-CUB-1,Navitoclax,Trametinib,1
Bladder,5637,Nilotinib,Trametinib,1
Bladder,639-V,Nilotinib,Trametinib,0
