SIDM,cell_line_name,tissue
SIDM01044,EPLC-272H,Lung
SIDM00266,ES1,Bone
SIDM00861,ES-2,Ovary
SIDM00264,ES4,Bone
SIDM00262,ES6,Bone
SIDM00269,ES7,Bone
SIDM00261,ES8,Bone
SIDM00539,ESO26,Esophagus
SIDM00538,ESO51,Esophagus
SIDM01043,ESS-1,Endometrium
SIDM00276,ETK-1,Biliary
SIDM01042,EVSA-T,Breast
SIDM00205,EW-1,Bone
SIDM00203,EW-11,Bone
SIDM00621,EW-13,Bone
SIDM00198,EW-16,Bone
SIDM00197,EW-18,Bone
SIDM00196,EW-22,Bone
SIDM00195,EW-24,Bone
SIDM00202,EW-3,Bone
SIDM00201,EW-7,Bone
SIDM00860,FADU,Head
SIDM01041,FLO-1,Esophagus
SIDM00213,FTC-133,Thyroid
SIDM00503,FU97,Stomach
SIDM01040,FU-OV-1,Ovary
SIDM00858,G-292-Clone-A141B1,Bone
SIDM00857,G-361,Skin
SIDM00856,G-401,Kidney
SIDM00855,G-402,Soft_tissue
SIDM00854,GA-10,Lymphoid
SIDM00543,GAK,Skin
SIDM01055,GAMG,CNS
SIDM00581,GB-1,CNS
SIDM00274,GCIY,Stomach
SIDM00853,GCT,Soft_tissue
SIDM01057,GDM-1,Lymphoid
SIDM00273,GI-1,CNS
SIDM00227,GI-ME-N,PNS
SIDM00544,GOTO,PNS
SIDM00537,GP5d,Colon
SIDM01058,GRANTA-519,Lymphoid
SIDM01259,GR-ST,Lymphoid
SIDM00852,H4,CNS
SIDM01251,H9,Lymphoid
SIDM00289,HAL-01,Lymphoid
SIDM00598,HARA,Lung
SIDM01073,HC-1,Lymphoid
SIDM00866,HCC1143,Breast
SIDM00885,HCC1187,Breast
SIDM00884,HCC1395,Breast
SIDM00882,HCC1419,Breast
SIDM00881,HCC1428,Breast
SIDM01072,HCC-15,Lung
SIDM00879,HCC1500,Breast
SIDM00877,HCC1599,Breast
SIDM00875,HCC1806,Breast
SIDM00874,HCC1937,Breast
SIDM00872,HCC1954,Breast
SIDM00774,HCC2157,Breast
SIDM00118,HCC2998,Colon
SIDM00675,HCC38,Breast
SIDM01069,HCC-44,Lung
SIDM00673,HCC70,Breast
SIDM01068,HCC-78,Lung
SIDM01067,HCC-827,Lung
SIDM00783,HCT-116,Colon
SIDM00789,HCT-15,Colon
SIDM01064,HDLM-2,Lymphoid
SIDM01063,HD-MY-Z,Lymphoid
SIDM01062,HDQ-P1,Breast
SIDM00596,HEC-1,Endometrium
SIDM00846,HeLa,Cervix
SIDM00535,H-EMC-SS,Bone
SIDM00968,Hey,Ovary
SIDM00290,HGC-27,Stomach
SIDM00671,HH,Lymphoid
SIDM00829,HL-60,Lymphoid
SIDM00064,HLE,Liver
SIDM00291,HMV-II,Skin
SIDM00592,HO-1-N-1,Head
SIDM00591,HO-1-u-1,Head
SIDM00133,HOP-62,Lung
SIDM00134,HOP-92,Lung
SIDM00806,HOS,Bone
SIDM00670,HPAC,Pancreas
SIDM00669,HPAF-II,Pancreas
SIDM00668,Hs-445,Lymphoid
SIDM00135,Hs-578-T,Breast
SIDM00667,Hs-633T,Soft_tissue
SIDM00665,Hs-746T,Stomach
SIDM00664,Hs-766T,Pancreas
SIDM00590,HSC-2,Head
SIDM00589,HSC-3,Head
SIDM00045,HSC-39,Stomach
SIDM00588,HSC-4,Head
SIDM00828,HT-1080,Soft_tissue
SIDM00676,HT-1197,Bladder
SIDM00678,HT-1376,Bladder
SIDM00695,HT-144,Skin
SIDM00136,HT-29,Colon
SIDM00679,HT-3,Cervix
SIDM00541,HT55,Colon
SIDM00496,HTC-C3,Thyroid
SIDM00587,HuCCT1,Biliary
SIDM00586,huH-1,Liver
SIDM00585,HuH-7,Liver
SIDM00584,HuO-3N1,Bone
SIDM00599,HuO9,Bone
SIDM00533,HuP-T3,Pancreas
SIDM00531,HuP-T4,Pancreas
SIDM00306,IA-LM,Lung
SIDM01060,IGR-1,Skin
SIDM01066,IGR-37,Skin
SIDM00151,IGROV-1,Ovary
SIDM00600,IHH-4,Thyroid
SIDM00632,IM-9,Lymphoid
SIDM00602,IM-95,Stomach
SIDM01206,IMR-5,PNS
SIDM00225,IST-MEL1,Skin
SIDM00224,IST-MES1,Lung
SIDM00230,IST-SL2,Lung
SIDM00693,J82,Bladder
SIDM00618,JHH-1,Liver
SIDM00617,JHH-2,Liver
SIDM00616,JHH-4,Liver
SIDM00615,JHH-6,Liver
SIDM00614,JHH-7,Liver
SIDM00127,JHU-022,Head
SIDM01037,JIMT-1,Breast
SIDM00808,JiyoyeP-2003,Lymphoid
SIDM01036,JJN-3,Lymphoid
SIDM00688,JSC-1,Lymphoid
SIDM01015,JURL-MK1,Lymphoid
SIDM01013,JVM-2,Lymphoid
SIDM01012,JVM-3,Lymphoid
SIDM00056,K5,Thyroid
SIDM00791,K-562,Lymphoid
SIDM00613,KALS-1,CNS
SIDM01011,KARPAS-1106P,Lymphoid
SIDM01017,KARPAS-231,Lymphoid
SIDM01010,KARPAS-299,Lymphoid
SIDM01008,KARPAS-422,Lymphoid
SIDM01007,KARPAS-45,Lymphoid
SIDM01006,KARPAS-620,Lymphoid
SIDM00687,KATOIII,Stomach
SIDM01004,KCL-22,Lymphoid
SIDM01003,KE-37,Lymphoid
SIDM01009,KELLY,PNS
SIDM00785,KG-1,Lymphoid
SIDM00302,KGN,Ovary
SIDM00612,KINGS-1,CNS
