cell_line,tissue,True Positive,True Negative,False Positive,False Negative,Total,Match,Mismatch,Match %,Mismatch %,Accuracy,Recall,Precision,balanced_accuracy,failure_reason,roc_auc,pr_auc,f1_score,n_positive,n_negative,pred_min,valid_matched_rows,missing_predictions,invalid_experimental_values,invalid_predictions
LU65,lung,10.0,1.0,1.0,2.0,14.0,11.0,3.0,78.57142857142857,21.428571428571427,78.57,83.33,90.91,0.6875,success,0.46875,0.8816863181752889,0.9032258064516128,16.0,2.0,-0.3736561009248142,18,16,0,11
NCIH1792,lung,14.0,0.0,2.0,9.0,25.0,14.0,11.0,56.00000000000001,44.0,56.0,60.87,87.5,0.4827586206896552,success,0.403448275862069,0.8512199290505277,0.9032258064516128,29.0,5.0,-0.5084986617068908,34,0,0,0
NCIH1915,lung,4.0,2.0,5.0,3.0,14.0,6.0,8.0,42.85714285714285,57.14285714285714,42.86,57.14,44.44,0.45,success,0.4499999999999999,0.613269459298871,0.6666666666666666,10.0,8.0,-0.4676621444253515,18,16,0,11
NCIH322M,lung,10.0,3.0,7.0,5.0,25.0,13.0,12.0,52.0,48.0,52.0,66.67,58.82,0.5277777777777778,success,0.4826388888888889,0.4989788810186883,0.6530612244897959,16.0,18.0,-0.54932470036427,34,0,0,0
SKMES1,lung,15.0,0.0,1.0,9.0,25.0,15.0,10.0,60.0,40.0,60.0,62.5,93.75,0.5,success,0.3359375,0.9284801985721768,0.9696969696969696,32.0,2.0,-0.5116160680441351,34,0,0,0
A3KAW,lymphoid,11.0,2.0,4.0,7.0,24.0,13.0,11.0,54.16666666666666,45.83333333333333,54.17,61.11,73.33,0.4782608695652174,success,0.4804347826086956,0.7552494975285999,0.8,23.0,10.0,-0.4459617914833336,33,0,0,0
CA46,lymphoid,10.0,3.0,7.0,5.0,25.0,13.0,12.0,52.0,48.0,52.0,66.67,58.82,0.5263157894736842,success,0.4192982456140351,0.4511164452831119,0.625,15.0,19.0,-0.5080823613010655,34,0,0,0
CTV1,lymphoid,15.0,0.0,8.0,2.0,25.0,15.0,10.0,60.0,40.0,60.0,88.24,65.22,0.4545454545454545,success,0.409090909090909,0.6978047103907354,0.7407407407407407,22.0,12.0,-0.4102583382147888,34,0,0,0
L1236,lymphoid,11.0,5.0,6.0,3.0,25.0,16.0,9.0,64.0,36.0,64.0,78.57,64.71,0.5263157894736842,success,0.4849624060150376,0.4606677354633939,0.6086956521739131,14.0,19.0,-0.5080823613010655,33,0,0,0
L428,lymphoid,14.0,4.0,3.0,4.0,25.0,18.0,7.0,72.0,28.000000000000004,72.0,77.78,82.35,0.475,success,0.4303571428571429,0.5676158549619816,0.7169811320754716,20.0,14.0,-0.5080823613010655,34,0,0,0
L540,lymphoid,10.0,5.0,5.0,5.0,25.0,15.0,10.0,60.0,40.0,60.0,66.67,66.67,0.4411764705882353,success,0.4204152249134948,0.4677461144485418,0.5957446808510638,17.0,17.0,-0.5022667759779467,34,0,0,0
