tissue,analysis_mode,status,runtime_seconds,config,synergies,return_code,error
endometrium,cell_line,success,4.23,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_endometrium_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_endometrium.csv,0,
endometrium,inhibitor_combination,success,3.71,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_endometrium_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_endometrium.csv,0,
esophagus,cell_line,success,6.16,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_esophagus_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_esophagus.csv,0,
esophagus,inhibitor_combination,success,5.88,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_esophagus_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_esophagus.csv,0,
head,cell_line,success,5.83,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_head_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_head.csv,0,
head,inhibitor_combination,success,5.31,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_head_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_head.csv,0,
kidney,cell_line,success,6.53,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_kidney_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_kidney.csv,0,
kidney,inhibitor_combination,success,5.78,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_kidney_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_kidney.csv,0,
liver,cell_line,success,4.34,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_liver_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_liver.csv,0,
liver,inhibitor_combination,success,5.34,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_liver_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_liver.csv,0,
lung,cell_line,success,18.12,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_lung_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_lung.csv,0,
lung,inhibitor_combination,success,15.14,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_lung_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_lung.csv,0,
lymphoid,cell_line,success,16.54,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_lymphoid_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_lymphoid.csv,0,
