Perturbation,Excess,cell_line,tissue
PD_08_PD_10,-0.4663629382032963,HUCCT1,biliary
PD_08_PD_12,0.0,HUCCT1,biliary
PD_08_PD_14,-0.0088525119661178,HUCCT1,biliary
PD_08_PD_15,-0.0002361128279857,HUCCT1,biliary
PD_10_PD_12,-6.102119920470273e-10,HUCCT1,biliary
PD_10_PD_13,5.351377674323032e-09,HUCCT1,biliary
PD_10_PD_15,-3.746896459766447e-09,HUCCT1,biliary
PD_01_PD_08,-0.0498512922094895,TGBC1TKB,biliary
PD_01_PD_10,-0.0022227022422433,TGBC1TKB,biliary
PD_06_PD_08,1.4080706872698912e-06,TGBC1TKB,biliary
PD_06_PD_10,-0.4402823079537144,TGBC1TKB,biliary
PD_06_PD_14,-0.0392970820510766,TGBC1TKB,biliary
PD_07_PD_08,-3.802570922517568e-05,TGBC1TKB,biliary
PD_07_PD_10,-1.2856826714369164e-11,TGBC1TKB,biliary
PD_08_PD_10,-0.0046115301380522,TGBC1TKB,biliary
PD_08_PD_12,-0.1063676399285015,TGBC1TKB,biliary
PD_08_PD_14,-0.1456235971501329,TGBC1TKB,biliary
PD_08_PD_15,-3.0968489012073164e-06,TGBC1TKB,biliary
PD_10_PD_12,-7.888134589961737e-12,TGBC1TKB,biliary
PD_10_PD_13,7.438494264988549e-15,TGBC1TKB,biliary
PD_10_PD_15,-6.772360450213455e-15,TGBC1TKB,biliary
PD_01_PD_02,-0.0042197626085886,TGBC24TKB,biliary
PD_01_PD_03,-0.0086878862227768,TGBC24TKB,biliary
PD_01_PD_08,-0.0374601940025105,TGBC24TKB,biliary
PD_01_PD_10,-0.0098364108917604,TGBC24TKB,biliary
PD_03_PD_05,-6.768175242477524e-09,TGBC24TKB,biliary
PD_03_PD_06,-0.022957521377409,TGBC24TKB,biliary
PD_03_PD_07,-1.9366147574473302e-09,TGBC24TKB,biliary
PD_03_PD_08,-0.0230799829848694,TGBC24TKB,biliary
PD_03_PD_09,-3.55580345390294e-07,TGBC24TKB,biliary
PD_03_PD_10,-2.250390258584645e-07,TGBC24TKB,biliary
PD_03_PD_11,-2.250850903440238e-07,TGBC24TKB,biliary
PD_03_PD_12,-2.3003821070233244e-13,TGBC24TKB,biliary
PD_03_PD_15,-8.475775636895833e-12,TGBC24TKB,biliary
PD_06_PD_08,0.003296686295042,TGBC24TKB,biliary
PD_06_PD_10,-0.5080823613010655,TGBC24TKB,biliary
PD_06_PD_14,-0.0136966256856706,TGBC24TKB,biliary
PD_07_PD_08,-0.0066378265274648,TGBC24TKB,biliary
PD_07_PD_10,-1.5203118763906787e-09,TGBC24TKB,biliary
PD_08_PD_10,-0.2989615155606342,TGBC24TKB,biliary
PD_08_PD_12,-0.0001237476126986,TGBC24TKB,biliary
PD_08_PD_14,-0.0138203732983692,TGBC24TKB,biliary
PD_08_PD_15,-0.0004057215935638,TGBC24TKB,biliary
PD_10_PD_12,-1.010296346581896e-07,TGBC24TKB,biliary
PD_10_PD_13,4.606870440682087e-11,TGBC24TKB,biliary
PD_10_PD_15,-3.3994140835602587e-11,TGBC24TKB,biliary
PD_01_PD_02,-0.0016981018779986,5637,bladder
PD_01_PD_03,-0.0085414970174401,5637,bladder
PD_01_PD_08,-0.0330456743983824,5637,bladder
PD_01_PD_10,-0.0045983179507216,5637,bladder
PD_03_PD_05,-2.9110792091335824e-06,5637,bladder
PD_03_PD_06,-0.0213158454941024,5637,bladder
PD_03_PD_07,-3.827862313787733e-07,5637,bladder
PD_03_PD_08,-0.0213158454941024,5637,bladder
PD_03_PD_09,-2.911078869405337e-06,5637,bladder
PD_03_PD_10,-2.8303563660125874e-05,5637,bladder
PD_03_PD_11,-2.831010206838513e-05,5637,bladder
PD_03_PD_12,0.0,5637,bladder
PD_03_PD_15,-2.8315756184227325e-08,5637,bladder
PD_06_PD_08,0.0013638188136543,5637,bladder
PD_06_PD_10,-0.5428507657859891,5637,bladder
PD_06_PD_14,-0.0085011877919436,5637,bladder
PD_07_PD_08,-0.0025185867934751,5637,bladder
PD_07_PD_10,-1.0764625790748995e-07,5637,bladder
PD_08_PD_10,-0.4692163345612985,5637,bladder
PD_08_PD_12,0.0,5637,bladder
PD_08_PD_14,-0.0085011877919436,5637,bladder
PD_08_PD_15,-0.0001945437354856,5637,bladder
PD_10_PD_12,-1.1836241986529215e-09,5637,bladder
PD_10_PD_13,6.548558362240442e-09,5637,bladder
PD_10_PD_15,-4.095149996885539e-09,5637,bladder
PD_01_PD_08,-0.0569481787526741,639V,bladder
PD_01_PD_10,-0.0006110258510928,639V,bladder
PD_06_PD_08,2.5287848123167755e-05,639V,bladder
PD_06_PD_10,-0.4959343839149658,639V,bladder
PD_06_PD_14,-0.0619712784364769,639V,bladder
PD_07_PD_08,-0.0003040741388791,639V,bladder
PD_07_PD_10,-1.4435119766176285e-12,639V,bladder
PD_08_PD_10,-0.0221349798847309,639V,bladder
PD_08_PD_12,-0.0150429628290826,639V,bladder
PD_08_PD_14,-0.0770142412627381,639V,bladder
PD_08_PD_15,-3.932485310975675e-05,639V,bladder
PD_10_PD_12,-2.2562951507154597e-11,639V,bladder
PD_10_PD_13,1.3100631690576847e-14,639V,bladder
PD_10_PD_15,-8.437694987151191e-15,639V,bladder
PD_01_PD_08,-0.0159616852861739,647V,bladder
PD_01_PD_10,-0.0012784955273829,647V,bladder
PD_06_PD_08,2.2427956158921347e-08,647V,bladder
PD_06_PD_10,-0.5592606042816772,647V,bladder
PD_06_PD_14,-0.0203174100245874,647V,bladder
PD_07_PD_08,-1.7620048595734517e-06,647V,bladder
PD_07_PD_10,-1.3010592603279749e-11,647V,bladder
PD_08_PD_10,-0.0016300795595265,647V,bladder
PD_08_PD_12,-0.002062864874026,647V,bladder
PD_08_PD_14,-0.0223802748975214,647V,bladder
PD_08_PD_15,-7.800482526576502e-08,647V,bladder
PD_10_PD_12,1.9539925233402758e-13,647V,bladder
PD_10_PD_13,1.9539925233402758e-13,647V,bladder
PD_10_PD_15,-2.383648833870211e-13,647V,bladder
PD_01_PD_02,-0.0730802851194445,BFTC905,bladder
PD_01_PD_03,-0.1050734495664122,BFTC905,bladder
PD_01_PD_08,-0.1564679351799521,BFTC905,bladder
PD_01_PD_10,-0.1203299839681889,BFTC905,bladder
PD_03_PD_05,-0.0061752971239784,BFTC905,bladder
PD_03_PD_06,-0.1173610482222828,BFTC905,bladder
PD_03_PD_07,-0.0022591628118397,BFTC905,bladder
PD_03_PD_08,-0.0836740949907391,BFTC905,bladder
PD_03_PD_09,-0.0072437954698312,BFTC905,bladder
PD_03_PD_10,-0.0121370195580473,BFTC905,bladder
PD_03_PD_11,-0.0131903838359784,BFTC905,bladder
PD_03_PD_12,-0.0009337982660855,BFTC905,bladder
PD_03_PD_15,-0.0003127590379554,BFTC905,bladder
PD_06_PD_08,0.00827482825008,BFTC905,bladder
PD_06_PD_10,-0.4037357817319463,BFTC905,bladder
PD_06_PD_14,-0.0695266564978535,BFTC905,bladder
PD_07_PD_08,-0.0076366546072232,BFTC905,bladder
PD_07_PD_10,-0.0017935598021854,BFTC905,bladder
PD_08_PD_10,-0.3382753330177018,BFTC905,bladder
PD_08_PD_12,-0.0874169910255293,BFTC905,bladder
PD_08_PD_14,-0.1567605112153233,BFTC905,bladder
PD_08_PD_15,-0.0017522188328293,BFTC905,bladder
PD_10_PD_12,-0.0012985938820423,BFTC905,bladder
PD_10_PD_13,0.0012365429887641,BFTC905,bladder
PD_10_PD_15,-0.0002416390641248,BFTC905,bladder
PD_01_PD_02,-0.0046692073337697,CAL29,bladder
PD_01_PD_03,-0.0100423731124914,CAL29,bladder
PD_01_PD_08,-0.0527898422001669,CAL29,bladder
PD_01_PD_10,-0.0074000781394721,CAL29,bladder
PD_03_PD_05,-1.0581250320385036e-09,CAL29,bladder
PD_03_PD_06,-0.0312828394892034,CAL29,bladder
PD_03_PD_07,-8.416989327741929e-11,CAL29,bladder
PD_03_PD_08,-0.0314568929162953,CAL29,bladder
PD_03_PD_09,-5.843504502500708e-08,CAL29,bladder
PD_03_PD_10,-5.347230097596523e-07,CAL29,bladder
PD_03_PD_11,-5.347695934965202e-07,CAL29,bladder
PD_03_PD_12,0.0,CAL29,bladder
PD_03_PD_15,-4.732880753977042e-13,CAL29,bladder
PD_06_PD_08,0.0043542424348906,CAL29,bladder
PD_06_PD_10,-0.5339329575289975,CAL29,bladder
PD_06_PD_14,-0.0189381649356242,CAL29,bladder
PD_07_PD_08,-0.007530417655879,CAL29,bladder
PD_07_PD_10,-1.1315953729607031e-09,CAL29,bladder
PD_08_PD_10,-0.376251653503445,CAL29,bladder
PD_08_PD_12,-0.000174053427092,CAL29,bladder
PD_08_PD_14,-0.0191122183627163,CAL29,bladder
PD_08_PD_15,-0.0005311300305461,CAL29,bladder
PD_10_PD_12,-3.3306690738754696e-16,CAL29,bladder
PD_10_PD_13,4.658373686794448e-11,CAL29,bladder
PD_10_PD_15,-4.3286374484807766e-11,CAL29,bladder
PD_01_PD_02,-0.0016981018779986,DSH1,bladder
PD_01_PD_03,-0.0085414970174401,DSH1,bladder
PD_01_PD_08,-0.0330456743983824,DSH1,bladder
PD_01_PD_10,-0.0045983179507216,DSH1,bladder
PD_03_PD_05,-2.9110792091335824e-06,DSH1,bladder
PD_03_PD_06,-0.0213158454941024,DSH1,bladder
PD_03_PD_07,-3.827862313787733e-07,DSH1,bladder
PD_03_PD_08,-0.0213158454941024,DSH1,bladder
PD_03_PD_09,-2.911078869405337e-06,DSH1,bladder
PD_03_PD_10,-2.8303563660125874e-05,DSH1,bladder
PD_03_PD_11,-2.831010206838513e-05,DSH1,bladder
PD_03_PD_12,0.0,DSH1,bladder
PD_03_PD_15,-2.8315756184227325e-08,DSH1,bladder
PD_06_PD_08,0.0013638188136543,DSH1,bladder
PD_06_PD_10,-0.5428507657859891,DSH1,bladder
PD_06_PD_14,-0.0085011877919436,DSH1,bladder
PD_07_PD_08,-0.0025185867934751,DSH1,bladder
PD_07_PD_10,-1.0764625790748995e-07,DSH1,bladder
PD_08_PD_10,-0.4692163345612985,DSH1,bladder
PD_08_PD_12,0.0,DSH1,bladder
PD_08_PD_14,-0.0085011877919436,DSH1,bladder
PD_08_PD_15,-0.0001945437354856,DSH1,bladder
PD_10_PD_12,-1.1836241986529215e-09,DSH1,bladder
PD_10_PD_13,6.548558362240442e-09,DSH1,bladder
PD_10_PD_15,-4.095149996885539e-09,DSH1,bladder
PD_01_PD_02,-0.0052770052003378,HT1197,bladder
PD_01_PD_03,-0.0108164541141103,HT1197,bladder
PD_01_PD_08,-0.037905652936795,HT1197,bladder
PD_01_PD_10,-0.0077984617238979,HT1197,bladder
PD_03_PD_05,-4.6587396829167467e-08,HT1197,bladder
PD_03_PD_06,-0.0811611762438822,HT1197,bladder
PD_03_PD_07,-1.293955165238003e-09,HT1197,bladder
PD_03_PD_08,-0.060403895190398,HT1197,bladder
PD_03_PD_09,-6.567809496260679e-08,HT1197,bladder
PD_03_PD_10,-2.1744289335767775e-07,HT1197,bladder
PD_03_PD_11,-2.174572717450474e-07,HT1197,bladder
PD_03_PD_12,-2.4797941478027496e-12,HT1197,bladder
PD_03_PD_15,-9.268064093959083e-11,HT1197,bladder
PD_06_PD_08,0.0521182781348723,HT1197,bladder
PD_06_PD_10,-0.4409322538057389,HT1197,bladder
PD_06_PD_14,-0.0488236530356228,HT1197,bladder
PD_07_PD_08,-0.0405369035426381,HT1197,bladder
PD_07_PD_10,-5.531101132660865e-10,HT1197,bladder
PD_08_PD_10,-0.2150019920321925,HT1197,bladder
PD_08_PD_12,-0.0204732737199465,HT1197,bladder
PD_08_PD_14,-0.0689504988415208,HT1197,bladder
PD_08_PD_15,-0.0019629661845314,HT1197,bladder
PD_10_PD_12,-2.553578459796313e-09,HT1197,bladder
PD_10_PD_13,1.4389378577561727e-11,HT1197,bladder
PD_10_PD_15,-1.2322032283407223e-11,HT1197,bladder
PD_01_PD_02,-0.0002843904970245,HT1376,bladder
PD_01_PD_03,-0.0006944716791988,HT1376,bladder
PD_01_PD_08,-0.0015130498598873,HT1376,bladder
PD_01_PD_10,-0.0015476553189356,HT1376,bladder
PD_03_PD_05,-1.5101331296563103e-10,HT1376,bladder
PD_03_PD_06,-0.0763474120441949,HT1376,bladder
PD_03_PD_07,-1.1400924648796718e-10,HT1376,bladder
PD_03_PD_08,-3.1576676361444456e-06,HT1376,bladder
PD_03_PD_09,-1.5101309092102608e-10,HT1376,bladder
PD_03_PD_10,-3.2920935566505e-07,HT1376,bladder
PD_03_PD_11,-3.313222260992177e-07,HT1376,bladder
PD_03_PD_12,-8.191864964146588e-10,HT1376,bladder
PD_03_PD_15,-6.628031457012186e-13,HT1376,bladder
PD_06_PD_08,3.1946334466681485e-11,HT1376,bladder
PD_06_PD_10,-0.4807934056018341,HT1376,bladder
PD_06_PD_14,-0.0538253944527813,HT1376,bladder
PD_07_PD_08,-2.953056577048585e-09,HT1376,bladder
PD_07_PD_10,-1.3903467066533892e-07,HT1376,bladder
PD_08_PD_10,-0.019176158934363,HT1376,bladder
PD_08_PD_12,-0.0473774372969456,HT1376,bladder
PD_08_PD_14,-0.1012028317347296,HT1376,bladder
PD_08_PD_15,-4.0757175412409197e-11,HT1376,bladder
PD_10_PD_12,-2.068871407523432e-09,HT1376,bladder
PD_10_PD_13,2.112871322346166e-09,HT1376,bladder
PD_10_PD_15,-1.3950284261099455e-09,HT1376,bladder
PD_01_PD_02,-0.0018990666800083,J82,bladder
PD_01_PD_03,-0.0082599045693277,J82,bladder
PD_01_PD_08,-0.0171435604892644,J82,bladder
PD_01_PD_10,-0.0053130444853958,J82,bladder
PD_03_PD_05,-6.718337307476396e-06,J82,bladder
PD_03_PD_06,-0.0704184488425584,J82,bladder
PD_03_PD_07,-5.746241337201141e-07,J82,bladder
PD_03_PD_08,-0.0201283674109902,J82,bladder
PD_03_PD_09,-6.71831616316787e-06,J82,bladder
PD_03_PD_10,-1.9283209039322458e-05,J82,bladder
PD_03_PD_11,-1.9290953852668657e-05,J82,bladder
PD_03_PD_12,-3.1623826890481155e-09,J82,bladder
PD_03_PD_15,-7.470608964776916e-08,J82,bladder
PD_06_PD_08,0.0166697176703448,J82,bladder
PD_06_PD_10,-0.4563317072917438,J82,bladder
PD_06_PD_14,-0.0467024248118342,J82,bladder
PD_07_PD_08,-0.0116712522090262,J82,bladder
PD_07_PD_10,-7.190696560410714e-08,J82,bladder
PD_08_PD_10,-0.2672567300361159,J82,bladder
PD_08_PD_12,-0.0707073313228004,J82,bladder
PD_08_PD_14,-0.1170681678400371,J82,bladder
PD_08_PD_15,-0.0007216944455017,J82,bladder
PD_10_PD_12,-4.940262865460454e-09,J82,bladder
PD_10_PD_13,8.094369285949199e-09,J82,bladder
PD_10_PD_15,-4.741274484132418e-09,J82,bladder
PD_01_PD_02,-0.0848764636020126,KU1919,bladder
PD_01_PD_03,-0.1199485639298231,KU1919,bladder
PD_01_PD_08,-0.185375671572217,KU1919,bladder
PD_01_PD_10,-0.1246550994299708,KU1919,bladder
PD_03_PD_05,-0.0042123741775383,KU1919,bladder
PD_03_PD_06,-0.1003416700071908,KU1919,bladder
PD_03_PD_07,-0.0013759110110876,KU1919,bladder
PD_03_PD_08,-0.0953268743436906,KU1919,bladder
PD_03_PD_09,-0.0066726085098219,KU1919,bladder
PD_03_PD_10,-0.0093122647005651,KU1919,bladder
PD_03_PD_11,-0.0099961135894458,KU1919,bladder
PD_03_PD_12,-0.0002993291435461,KU1919,bladder
PD_03_PD_15,-0.0001758667697914,KU1919,bladder
PD_06_PD_08,0.0069039688871872,KU1919,bladder
PD_06_PD_10,-0.3942096564973912,KU1919,bladder
PD_06_PD_14,-0.0694059588609619,KU1919,bladder
PD_07_PD_08,-0.0074355031403028,KU1919,bladder
PD_07_PD_10,-0.0011759506196631,KU1919,bladder
PD_08_PD_10,-0.3569531765930752,KU1919,bladder
PD_08_PD_12,-0.0979511475327644,KU1919,bladder
PD_08_PD_14,-0.1671985021268627,KU1919,bladder
PD_08_PD_15,-0.0019632075505889,KU1919,bladder
PD_10_PD_12,-0.0009034946378358,KU1919,bladder
PD_10_PD_13,0.0007298678050384,KU1919,bladder
PD_10_PD_15,-0.0001492223805558,KU1919,bladder
PD_01_PD_02,-0.0002201507571135,LB831BLC,bladder
PD_01_PD_03,-0.000867319321625,LB831BLC,bladder
PD_01_PD_08,-0.0132162468196767,LB831BLC,bladder
PD_01_PD_10,-0.0011707636709782,LB831BLC,bladder
PD_03_PD_05,-3.3747302952136244e-08,LB831BLC,bladder
PD_03_PD_06,-0.0012343546920215,LB831BLC,bladder
PD_03_PD_07,-3.611615340126661e-09,LB831BLC,bladder
PD_03_PD_08,-0.0013154590738689,LB831BLC,bladder
PD_03_PD_09,-5.209743068945727e-06,LB831BLC,bladder
PD_03_PD_10,-4.620490670070865e-07,LB831BLC,bladder
PD_03_PD_11,-4.620632562124527e-07,LB831BLC,bladder
PD_03_PD_12,-2.220446049250313e-16,LB831BLC,bladder
PD_03_PD_15,-6.798772655969286e-11,LB831BLC,bladder
PD_06_PD_08,5.944834491344864e-08,LB831BLC,bladder
PD_06_PD_10,-0.5116160680441351,LB831BLC,bladder
PD_06_PD_14,-0.0039957249811315,LB831BLC,bladder
PD_07_PD_08,-1.1553692378374336e-06,LB831BLC,bladder
PD_07_PD_10,-6.704187205386346e-10,LB831BLC,bladder
PD_08_PD_10,-0.0675935697951697,LB831BLC,bladder
PD_08_PD_12,-0.0001336535055094,LB831BLC,bladder
PD_08_PD_14,-0.0041293784866286,LB831BLC,bladder
PD_08_PD_15,-5.362108468354165e-08,LB831BLC,bladder
PD_10_PD_12,-2.4586604430165693e-07,LB831BLC,bladder
PD_10_PD_13,1.4190648656153826e-11,LB831BLC,bladder
PD_10_PD_15,-1.4712675522332574e-11,LB831BLC,bladder
PD_01_PD_02,-0.0042197626085886,RT112,bladder
PD_01_PD_03,-0.0086878862227768,RT112,bladder
PD_01_PD_08,-0.0374601940025105,RT112,bladder
PD_01_PD_10,-0.0098364108917604,RT112,bladder
PD_03_PD_05,-6.768175242477524e-09,RT112,bladder
PD_03_PD_06,-0.022957521377409,RT112,bladder
PD_03_PD_07,-1.9366147574473302e-09,RT112,bladder
PD_03_PD_08,-0.0230799829848694,RT112,bladder
PD_03_PD_09,-3.55580345390294e-07,RT112,bladder
PD_03_PD_10,-2.250390258584645e-07,RT112,bladder
PD_03_PD_11,-2.250850903440238e-07,RT112,bladder
PD_03_PD_12,-2.3003821070233244e-13,RT112,bladder
PD_03_PD_15,-8.475775636895833e-12,RT112,bladder
PD_06_PD_08,0.003296686295042,RT112,bladder
PD_06_PD_10,-0.5080823613010655,RT112,bladder
PD_06_PD_14,-0.0136966256856706,RT112,bladder
PD_07_PD_08,-0.0066378265274648,RT112,bladder
PD_07_PD_10,-1.5203118763906787e-09,RT112,bladder
PD_08_PD_10,-0.2989615155606342,RT112,bladder
PD_08_PD_12,-0.0001237476126986,RT112,bladder
PD_08_PD_14,-0.0138203732983692,RT112,bladder
PD_08_PD_15,-0.0004057215935638,RT112,bladder
PD_10_PD_12,-1.010296346581896e-07,RT112,bladder
PD_10_PD_13,4.606870440682087e-11,RT112,bladder
PD_10_PD_15,-3.3994140835602587e-11,RT112,bladder
PD_01_PD_02,-0.0077404045705469,RT4,bladder
PD_01_PD_03,-0.0144859222894602,RT4,bladder
PD_01_PD_08,-0.0737862397424935,RT4,bladder
PD_01_PD_10,-0.004324758770227,RT4,bladder
PD_03_PD_05,-1.9923435123914143e-08,RT4,bladder
PD_03_PD_06,-0.0487145324469839,RT4,bladder
PD_03_PD_07,-3.843342311071751e-10,RT4,bladder
PD_03_PD_08,-0.0804460549221783,RT4,bladder
PD_03_PD_09,-0.0977016804028029,RT4,bladder
