,9384,9387,9409,27909,27910,27924
tissue,head,head,head,stomach,stomach,stomach
cell_line,HO1U1,HO1U1,HO1U1,NUGC4,NUGC4,NUGC4
perturbation,PD_01,PD_01_PD_08,PD_08,PD_01,PD_01_PD_08,PD_08
AKT1,0.0076097288038541,0.0027145310842328,0.0019671996352684,0.0048919321790872,-0.0098888709411566,-0.0076175170153524
MAP2K4,0.0024541911787331,0.0027145310842328,0.0019671996352684,0.0027118750788809,0.0042119519804224,0.0032696369335745
MEK_f,0.0060359153831571,0.0066762035783361,0.0048381929831509,0.0027118750788809,0.0042119519804224,0.0032696369335745
MAPK8,0.0024541911787331,0.0027145310842328,0.0019671996352684,0.0027118750788809,0.0042119519804224,0.0032696369335745
MYC,0.0221338440253104,0.0218840956872359,0.0158629869262357,0.0208341698998836,0.0206350593408946,0.0160477967675438
JUN,0.0170765015121045,0.0164697185347807,0.0119491194435676,0.0157211298868068,0.01679074030162,0.0130835456522727
STAT3,0.0134797947838602,0.0131620255983554,0.0095312222507031,0.0115070776452646,0.0128461879047661,0.0099846049344206
GSK3B,-0.0120654010139272,-0.0110955449382209,-0.0080408554104809,-0.0102698490145923,-0.0092874355773538,-0.0072183400589602
mTOR_c2,0.0024541911787331,0.0027145310842328,0.0019671996352684,-0.0093594096058559,-0.0082563935353347,-0.0063570917951953
PIK3CA,0.0070315624119257,-0.0031489078829598,-0.002283304634004,0.0063579458277102,-0.0055678976572369,-0.0043222249225736
KRAS,0.0053254107970522,0.0058903288668692,0.0042686756713971,0.0054237501577618,0.0084239039608449,0.0065392738671491
IRS2,0.0024541911787331,0.0027145310842328,0.0019671996352684,-0.0093594096058559,-0.0082563935353347,-0.0063570917951953
BRAF,0.0053254107970522,0.0058903288668692,0.0042686756713971,-0.0027118750788809,-0.0042119519804224,-0.0032696369335745
MAP3K1,0.0024541911787331,0.0027145310842328,0.0019671996352684,0.0027118750788809,0.0042119519804224,0.0032696369335745
CYCS,0.0028858403657081,0.0034158425808709,-0.0304096613075132,0.0027932075488484,0.01459808376429,-0.0287205333909112
mTOR_c1,0.012868252312876,0.0120444905203236,0.0087190122109454,0.0106913992063994,0.0094605989562653,0.0073629865945594
TP53,-0.0244554759825662,-0.024463089609369,-0.0177321312076729,-0.0231002245626779,0.0080767301469246,0.0061038026864262
CDKN1B,-0.0255965684740323,-0.0256880163867062,-0.0186519283469419,-0.0244538298680431,-0.026539196122576,-0.0206326102629764
CDKN1A,-0.0289353385442035,-0.0294040950307901,-0.0213083413621973,-0.026007073884634,-0.0213869427083442,-0.0166630439499817
BAX,-0.005871214727737,-0.0054773243376646,-0.0281707899747596,-0.0044052755124215,0.0114292498935295,-0.0261688351863344
APC,-0.0120654010139272,-0.0110955449382209,-0.0080408554104809,-0.0102698490145923,-0.0092874355773538,-0.0072183400589602
CyclinD_CDK4_6,0.0396185216620316,0.0412129238592881,0.02994685774895,0.0384115282799893,0.0449994634016076,0.0350362212680182
CDC25A,0.0385201337327383,0.0400010639068218,0.0290560226653556,0.0369480105100426,0.0431782218937839,0.0335973179869255
AXIN1,-0.0144603701504701,-0.0136931646381201,-0.0099233302717521,-0.0128370049707616,-0.0127988422286243,-0.0099450562257239
CCND1,0.039547368322994,0.0411353779429373,0.0298805809543076,0.0380120871777451,0.0445641867460765,0.0346787773892993
