tissue,cell_line,perturbation,AKT1,MAP2K4,MEK_f,MAPK8,MYC,JUN,STAT3,GSK3B,mTOR_c2,PIK3CA,KRAS,IRS2,BRAF,MAP3K1,CYCS,mTOR_c1,TP53,CDKN1B,CDKN1A,BAX,APC,CyclinD_CDK4_6,CDC25A,AXIN1,CCND1,SMAD3,CTNNB1,LEF1,BIRC5_rna,FOS,BAD,CREB1,RPS6K_f,BCL2L11,BCL2_rna,CyclinE_CDK2,MDM2,RB1,CyclinB_CDK1,BCL2L1,XIAP,FOXO3,E2F,BCL2,ERK_f,BAK,BIRC5,DIABLO,CASP3,CASP9,Apoptosis,APAF1,BID,Proliferation,CDKN2A,LRP5,PTEN,ERBB2,IGF1R,EGFR,PORCN,MET,FGFR
adrenal,SW13,PD_06,-0.002289891905364,0.002289891905364,0.0049738006760269,0.002289891905364,0.0160985972829385,0.0124261558864126,0.009553584486755,-0.0081868408546808,-0.0027315616334628,0.0066662306697201,0.0045797838107281,-0.0027315616334628,0.0038010039180389,0.002289891905364,-0.0307720601025448,0.0081868408546808,-0.0133703104789422,-0.0187401219367949,-0.0201516746489906,-0.0282644556181734,-0.0081868408546808,0.0301653267340885,0.0295216465890494,-0.0103220761084836,0.0303950334003848,-0.01645234358295,0.0116078424484985,0.0116078424484985,0.0135599364410182,0.0107853444290478,-0.0163316040851844,0.0081868408546808,0.0081868408546808,-0.0248590352523217,0.014564076353711,0.0316546306536614,0.0101155384524836,-0.0305016113447301,0.0344171309544965,0.0247025920610238,0.0319039609333066,-0.0049738006760269,0.0304814744255259,0.025822927640645,0.0049738006760269,-0.0286673916995228,0.0296144859342662,-0.0296621330058249,-0.0375744510551801,-0.0360302873243662,-0.0392045367735613,-0.0312626785847511,-0.0256248156178192,0.0344171309544965,-0.0160985972829385,0.0,0.0,0.0,0.002289891905364,0.002289891905364,0.0,0.002289891905364,0.0
adrenal,SW13,PD_06_PD_10,-0.0046969845437483,0.0046969845437483,-0.0046969845437483,0.0046969845437483,0.0077210885148843,0.0024800092045957,0.0088712986739231,0.0078759826114853,0.0097806097151974,0.0158954276269725,0.0093939690874967,0.0097806097151974,0.010906060373381,0.0046969845437483,0.0171147414294335,-0.0086287842070268,-0.0053934249040531,-0.0054701440485933,-0.0168244204876958,0.0085815165221328,0.0078759826114853,0.0261713139860396,0.0296578456609471,0.0114029432980248,0.0320241701931024,-0.0106840303262229,-0.0174083172429715,-0.0175443613756755,-0.0037177779771159,-0.0130405032409332,-0.0028099257160154,-0.0093936803850785,-0.0086287842070268,0.0111579941463722,0.006449323978239,0.0344245761089605,0.0044434758697816,-0.0324280650397793,0.0401561816628439,-0.0110390874068319,-0.0213975456246336,0.007444544368308,0.0319870751454026,-0.0057703582128036,-0.0046969845437483,0.0152097383309898,-0.018284900843549,0.0050563630043621,0.00914600265262,0.0117702028988397,0.010641776684532,0.0182659629890636,-0.001476467657547,0.0401561816628439,-0.0077210885148843,-0.0015687457638572,0.0,0.0,0.0046969845437483,0.0046969845437483,0.0,0.0046969845437483,0.0
adrenal,SW13,PD_10,0.006032844671742,0.002020100055864,-0.002020100055864,0.002020100055864,0.016194914739493,0.0118658554182997,0.0084015618402578,-0.0079587525699834,-0.0028416818547592,0.0058633242444634,0.004040200111728,-0.0028416818547592,0.0046905270741941,0.002020100055864,-0.0305775318669806,0.0079587525699834,-0.0180863389599453,-0.0184821978676659,-0.0208244044039797,-0.0284570110468653,-0.0079587525699834,0.0288983082068087,0.0282172055610439,-0.0098814601975774,0.0290251250050215,-0.016194914739493,0.0122917738510239,0.0122917738510239,0.0182235666757876,0.0104918836341751,-0.0182092991622563,0.0090430429220986,0.0079587525699834,-0.025485676543937,0.0193890741652384,0.0302142512731676,0.016194914739493,-0.0292515277192499,0.032605550955126,0.0250407750122026,0.0323920307533566,-0.006032844671742,0.0290769102451867,0.0259560678539323,-0.002020100055864,-0.0286438767207276,0.0295497523660032,-0.0296094465335625,-0.037025209690119,-0.0356016659056706,-0.0384372843096209,-0.030984565829636,-0.0257533921227125,0.032605550955126,-0.016194914739493,0.0,0.0,0.0,0.002020100055864,0.002020100055864,0.0,0.002020100055864,0.0
biliary,EGI1,PD_06,-0.0075746518821579,0.0027981512195553,0.0060534742911279,0.0027981512195553,0.017936564804597,0.0153460310453372,0.0116497767302387,-0.0099748385358478,-0.0089110295205996,0.0066918392918356,0.0055963024391107,-0.0089110295205996,0.0045895192993542,0.0027981512195553,-0.0308513350747105,0.0099748385358478,0.0057096509582479,-0.0219218684463529,-0.0097716876240388,-0.0282613901413655,-0.0099748385358478,0.0304198453342917,0.0196472583332203,-0.0125818831169641,0.030396985623252,-0.0196403432239086,0.0141522488084425,0.0141522488084425,0.0002389005855286,0.0131473060128122,-0.0117615777793452,0.0099748385358478,0.0099748385358478,-0.0233755204194289,0.0033312754013531,0.0280440755813999,-0.0075746518821579,-0.0237682316772546,0.0338430349365796,0.0229212804580517,0.0316493784210236,-0.0060534742911279,0.0271560355231266,0.0265638639088147,0.0060534742911279,-0.0263603964137291,0.0067230897763136,-0.0306573296661917,-0.0382909377296237,-0.0371578503527515,-0.0405693924265026,-0.0314358428479228,-0.0199099789907046,0.0338430349365796,-0.017936564804597,0.0,0.0,0.0,0.0027981512195553,0.0027981512195553,0.0,0.0027981512195553,0.0
biliary,EGI1,PD_06_PD_10,-0.0049638050225739,0.0043275142091949,-0.0043275142091949,0.0043275142091949,0.0073347940108169,-0.0011871788132723,0.0081193999876463,0.007343340812345,0.0090264592936135,0.0124674377635048,0.0086550284183898,0.0090264592936135,0.0100481768233539,0.0043275142091949,0.0414161591500453,-0.0082456366069829,0.0095332922998084,0.0034693579333719,-0.0049092852044369,0.0374379277642913,0.007343340812345,0.023088828836528,0.0129593440260582,0.0105810486003841,0.0230505051783255,-0.0097137600227701,-0.0164175307856691,-0.0164912722802919,-0.0050879318261843,-0.0122749579107896,0.0126964879180264,-0.0089329946009421,-0.0082456366069829,0.0302275274684412,-0.0127562791126698,0.0226384206277232,-0.0049638050225739,-0.0197490282928591,0.0283584237599165,-0.0272791849854567,-0.0215699423995451,0.0072975872504999,0.0205808956873203,-0.0297546286389445,-0.0043275142091949,0.0366575981557079,-0.0199417257089392,0.0248397774129537,0.0269941363215061,0.040756012132898,0.0433739767695299,0.0420359736714203,0.0304626615035659,0.0283584237599165,-0.0073347940108169,-0.0012727059274247,0.0,0.0,0.0043275142091949,0.0043275142091949,0.0,0.0043275142091949,0.0
biliary,EGI1,PD_10,0.005382785822805,0.0020736465585891,-0.0020736465585891,0.0020736465585891,0.0159560126695475,0.0117417236761337,0.00816789285423,-0.0076113806381054,-0.0066235017995755,0.005415282409056,0.0041472931171783,-0.0066235017995755,0.0048148582032547,0.0020736465585891,-0.0308002078650167,0.0076113806381054,-0.0178649668831609,-0.0188959227692191,-0.0205050675236566,-0.0286594830785233,-0.0076113806381054,0.0290960389784613,0.0280528344090364,-0.0095588280350513,0.0289417136168139,-0.0159726320253023,0.0118813627658635,0.0118786921968483,0.0180087404683717,0.0101742232338845,-0.0179987324695525,0.0086981869529863,0.0076113806381054,-0.0256236612965794,0.0192060635463459,0.0300542961721542,0.0159226590743488,-0.0291890084376234,0.0325127951494903,0.0250736767427511,0.0321453060010091,-0.0051628664519907,0.0289995715897276,0.0261191665612184,-0.0020736465585891,-0.0287769881910457,0.0300718110940788,-0.0301259308382396,-0.0371951557648994,-0.0359716260794773,-0.0387306251311621,-0.0312127021635873,-0.0257286943319262,0.0325127951494903,-0.0159560126695475,0.0,0.0,0.0,0.0020736465585891,0.0020736465585891,0.0,0.0020736465585891,0.0
biliary,ETK1,PD_06,-0.005001154694445,0.0022772642480865,0.0046029054767817,0.0022772642480865,0.0157471806177996,0.0116817914258601,0.0091574339729547,-0.0077298849394281,-0.0050767536368959,0.005609616454526,0.004554528496173,-0.0050767536368959,0.0030005747758887,0.0022772642480865,-0.0311409685154621,0.0077298849394281,-0.0147669859522325,-0.0182558685770969,-0.0198815087064074,-0.0287366119837179,-0.0077298849394281,0.0304453854419143,0.0294177862061592,-0.009823341778367,0.0302145421032336,-0.0159028941259031,0.0110909012485646,0.0110909012485646,0.0150534097996947,0.0102745651402977,-0.0163340459365419,0.0077298849394281,0.0077298849394281,-0.0251464103451766,0.0176868301092061,0.0311101263202033,0.0051993055864157,-0.0298676905878437,0.0340783439113944,0.0250110903812878,0.0325851322755029,-0.0046029054767817,0.0303060824620018,0.0261813559561493,0.0046029054767817,-0.0289727642643004,0.0272199342266313,-0.0306201708506278,-0.0380044426051406,-0.0368730463017951,-0.0397697124515872,-0.031615002655411,-0.025806847333987,0.0340783439113944,-0.0157471806177996,0.0,0.0,0.0,0.0022772642480865,0.0022772642480865,0.0,0.0022772642480865,0.0
biliary,ETK1,PD_06_PD_10,-0.0053323124211119,0.0045034610522339,-0.0045034610522339,0.0045034610522339,0.0081403064303274,0.0052055485516952,0.0085691247323768,0.0070567842752943,0.0087224872464791,0.0127243020582296,0.0090069221044678,0.0087224872464791,0.0104567127414129,0.0045034610522339,0.0198695859011657,-0.0077288988053693,-0.0039063098837006,0.0051502150010974,-0.01500107261714,0.0171881535904681,0.0070567842752943,0.0203942321625147,0.0259170288032183,0.010335570814962,0.0271291107981635,-0.0109147864452098,-0.0165231370315782,-0.0165569378593291,0.0049610524664812,-0.0118960720916798,5.712523163645591e-05,-0.0084619402868529,-0.0077288988053693,0.0162033439265152,0.0054981006222049,0.013762808383412,0.0018498094536661,-0.023993164817549,0.0340070941108892,-0.0139760265282192,0.0064104476238663,0.0077092396122645,0.0236007774037231,-0.0128915133578672,-0.0045034610522339,0.0203934661288358,0.0050341786871681,-0.006153593890304,-0.0062813314441689,0.0102055491718654,0.0092887353797683,0.0205064663560212,0.0128869017734388,0.0340070941108892,-0.0081403064303274,-0.0014876545024033,0.0,0.0,0.0045034610522339,0.0045034610522339,0.0,0.0045034610522339,0.0
biliary,ETK1,PD_10,0.0052507991954249,0.0021045595464614,-0.0021045595464614,0.0021045595464614,0.0158041079106945,0.0113156117762365,0.0080871530448173,-0.0074999610612652,-0.0045192317965736,0.0051483176555872,0.0042091190929228,-0.0045192317965736,0.0048866359382922,0.0021045595464614,-0.0309084193115991,0.0074999610612652,-0.0177589531921608,-0.0189283015645718,-0.020452402492952,-0.028733058874735,-0.0074999610612652,0.0294052970701953,0.0283920345462419,-0.0094718018624553,0.0290827549299518,-0.0158191706446113,0.0117075130471705,0.0117048644397003,0.0178949896503736,0.010094525478659,-0.017896196137805,0.0085983307312085,0.0074999610612652,-0.0256323143625743,0.0191308224320942,0.0301859883703795,0.0157855959770894,-0.0293326433492594,0.0327858245689484,0.0251073694367227,0.0329948651013528,-0.0050447011494141,0.0291408957675242,0.026163810808839,-0.0021045595464614,-0.0288575593775129,0.0303992588339248,-0.0304520693862385,-0.0376642283209895,-0.0364957723633264,-0.0392440808362576,-0.0313285452200001,-0.0257842843494053,0.0327858245689484,-0.0158041079106945,0.0,0.0,0.0,0.0021045595464614,0.0021045595464614,0.0,0.0021045595464614,0.0
biliary,HUCCT1,PD_06,-0.0039199422829928,0.0021454742303396,0.0049816368922824,0.0021454742303396,0.0157942698440687,0.0121373593205347,0.0092725853529617,-0.0080560143737161,-0.0080560143737161,0.0056185703434609,0.0042909484606793,-0.0080560143737161,0.0042909484606793,0.0021454742303396,-0.0307067199428791,0.0080560143737161,-0.0150721400716639,-0.0181603277075388,-0.0199505199034014,-0.0283899605977451,-0.0080560143737161,0.02979137789029,0.0287740468744848,-0.0100846722865367,0.0296492551772649,-0.0159401979316236,0.0112997547997606,0.0112997547997606,0.0153044751532,0.010527607323974,-0.0169255423128278,0.0080560143737161,0.0080560143737161,-0.0250499456949215,0.0177374705526791,0.0305677981427033,0.0078765706144589,-0.0295106644514678,0.0332978886179157,0.0249964028720612,0.0323078415989275,-0.0049816368922824,0.0297201237955171,0.0260061212838228,0.0049816368922824,-0.0287124315845023,0.030162471177655,-0.0302057580283733,-0.0375476339769334,-0.036083149445659,-0.0390611949342666,-0.0311626227456572,-0.0257432072260491,0.0332978886179157,-0.0157942698440687,0.0,0.0,0.0,0.0021454742303396,0.0021454742303396,0.0,0.0021454742303396,0.0
